Plot,PC1,PC2,PC3,,plotStatus
343,-5.369617818,-0.029837901,-0.393374209,,Not Invaded
344,-3.6239552,0.609809248,-0.260119182,,Not Invaded
345,-1.573300566,-1.305635306,-0.992525065,,Not Invaded
346,-5.336597021,0.015783838,-0.26625644,,Not Invaded
347,-4.600885947,0.065619747,-0.387102682,,Not Invaded
348,-4.333524394,0.212767516,-0.210857134,,Not Invaded
349,-3.582495105,0.664931339,-0.128263302,,Not Invaded
350,13.37801033,-0.840315909,-0.67429719,,Not Invaded
351,7.732996144,1.556325008,-1.418130863,,Not Invaded
352,9.153977995,1.016058458,-1.102901697,,Not Invaded
353,11.9295066,0.114266489,-1.024220406,,Not Invaded
354,4.807975669,1.186921439,-1.002552526,,Not Invaded
355,6.591600369,2.061127563,-1.064784505,,Not Invaded
356,7.53479788,0.93794706,-0.304086474,,Not Invaded
357,2.548407028,-4.281603214,-0.884643409,,Not Invaded
358,4.850296633,1.273695454,-0.965731487,,Not Invaded
359,5.398939917,1.122889512,-0.186409175,,Not Invaded
360,2.866775094,-4.290196791,-1.62387181,,Not Invaded
361,4.752231374,1.169970435,-1.686542685,,Not Invaded
362,3.97195648,1.320131364,-0.296212612,,Not Invaded
363,3.719765806,-4.159926458,-2.192956399,,Not Invaded
364,5.183898734,1.544520568,-1.405434238,,Not Invaded
365,5.699907865,1.701375668,-0.502871398,,Not Invaded
366,4.330898699,-6.259329739,-1.095128574,,Not Invaded
367,-4.721185579,-0.051747807,-0.10002077,,Not Invaded
368,-4.788695353,0.136932244,-0.21572434,,Not Invaded
369,-4.829820024,0.191177148,-0.218062876,,Not Invaded
370,-6.650398232,-0.327668333,-0.356933079,,Not Invaded
371,-6.149511956,-0.242984541,-0.415626608,,Not Invaded
372,-5.14397527,0.11991484,-0.397863406,,Not Invaded
373,-6.805598134,-0.382662089,-0.333554261,,Not Invaded
374,-6.324543708,-0.250909116,-0.372447064,,Not Invaded
375,-6.716001836,-0.334996454,-0.334122264,,Not Invaded
376,-6.048531232,-0.211194741,-0.39148367,,Not Invaded
377,-6.963527433,-0.416306572,-0.327387547,,Not Invaded
378,-6.284205832,-0.251630434,-0.391536547,,Not Invaded
379,3.102913843,1.517556105,-0.217182767,,Not Invaded
380,6.938110121,-2.431919247,-2.127160504,,Not Invaded
381,-3.654382607,0.988317199,0.153804974,,Not Invaded
382,-4.67511866,0.138261991,-0.519178647,,Not Invaded
383,-2.221958232,-1.206063118,-1.172461013,,Not Invaded
384,-5.541197731,-0.038407888,-0.288574637,,Not Invaded
385,-5.238430521,-0.124944286,-0.435123375,,Not Invaded
386,-4.153766485,0.462169068,-0.298252533,,Not Invaded
387,-5.297065143,-0.014249281,-0.334516422,,Not Invaded
388,-3.992782322,0.615974701,-0.113880758,,Not Invaded
389,-2.571366873,-1.089110138,-0.453220803,,Not Invaded
390,-0.876460975,0.527714746,-0.874264825,,Not Invaded
391,1.10357161,0.618936828,-1.098207852,,Not Invaded
392,0.556038752,0.592240722,-1.307745102,,Not Invaded
393,-0.787297986,0.905307849,-0.428313357,,Not Invaded
394,-0.262536071,0.440468379,-0.285924107,,Not Invaded
395,-1.615212495,0.3216419,-0.179514534,,Not Invaded
396,1.661778813,1.202165466,0.105097867,,Not Invaded
397,-0.988834676,-1.042327842,-0.091434208,,Not Invaded
398,3.395440025,0.982534513,-0.773506811,,Not Invaded
399,1.143625997,0.69300777,-1.2706009,,Not Invaded
400,5.826543109,0.673647663,-1.017908589,,Not Invaded
401,-0.016498583,0.570856701,-1.219842089,,Not Invaded
402,0.38756045,0.50272123,-1.525862236,,Not Invaded
403,6.782882195,0.813682386,-0.622389305,,Not Invaded
404,-0.173865157,0.486485023,-1.055123629,,Not Invaded
405,2.758475504,0.589544943,-0.159213915,,Not Invaded
406,2.377196161,0.385748073,-0.52643573,,Not Invaded
407,6.576154841,1.098819753,-0.594515065,,Not Invaded
408,4.03391683,0.668985672,-0.82110965,,Not Invaded
409,4.304831348,0.80027756,-1.102403386,,Not Invaded
410,5.671135737,0.28105766,-0.189476793,,Not Invaded
411,0.574566387,0.090716997,-0.723705007,,Not Invaded
412,6.387253676,0.881662693,-1.143714836,,Not Invaded
413,3.168336247,0.69215859,-0.01953783,,Not Invaded
414,4.433888461,0.827469534,-0.79055464,,Not Invaded
415,5.235886231,0.191193762,-0.54760636,,Not Invaded
416,7.038522227,0.674080466,0.571021589,,Not Invaded
417,2.87356252,0.57337406,-0.560360042,,Not Invaded
418,4.792127418,0.55744456,-0.817050981,,Not Invaded
419,2.872687968,0.523236635,-0.584026142,,Not Invaded
420,3.48115377,0.478039855,-0.627471941,,Not Invaded
421,5.513156619,0.661468871,-0.861800457,,Not Invaded
422,5.809282163,0.356741523,-0.310671013,,Not Invaded
423,2.480670867,0.356557414,-0.721572082,,Not Invaded
424,2.40770847,0.837015608,-0.948169975,,Not Invaded
425,5.155216205,0.303754968,-0.060890609,,Not Invaded
426,3.612616234,0.441275985,-0.778217601,,Not Invaded
427,3.207091135,1.127048819,-0.729827648,,Not Invaded
428,5.699153632,0.218225591,-0.348611681,,Not Invaded
429,1.517992673,0.297502422,-0.673816404,,Not Invaded
430,3.028057127,1.007172855,-0.817280919,,Not Invaded
431,2.059343134,0.523485085,0.160197269,,Not Invaded
432,4.346965462,0.652865324,-0.946829089,,Not Invaded
433,4.54463807,0.732759504,-0.863600225,,Not Invaded
434,6.433598336,0.352280794,0.537978627,,Not Invaded
435,-3.063912971,0.261735789,-0.715855463,,Not Invaded
436,-2.141737352,0.676043203,-0.72677186,,Not Invaded
437,-3.257821638,0.488339381,-0.629471345,,Not Invaded
438,-2.126660063,0.62301648,-0.702047492,,Not Invaded
439,-3.541181269,0.421962488,-0.449675865,,Not Invaded
440,-2.494355452,0.524297525,-0.574558065,,Not Invaded
441,10.33452764,-1.118869464,-1.040666928,,Not Invaded
442,8.476572951,-0.587915419,-2.015967666,,Not Invaded
443,8.334128322,0.248430187,-1.50342231,,Not Invaded
444,7.916599163,0.084811132,-2.070367672,,Not Invaded
445,8.393538482,-0.530883337,-1.836828075,,Not Invaded
446,9.165608328,1.683185079,-1.257012239,,Not Invaded
447,10.43259221,0.916021646,-2.298529211,,Not Invaded
448,8.472117631,0.740935717,-1.884470673,,Not Invaded
449,11.38945747,0.416818767,-1.208411345,,Not Invaded
